Child Entity CIK,Child Entity,Entity Type,Industry Group,Jurisdiction,Filing Date,Parent Entity Name,Clarification,Source File
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Gary Sumers,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Kathleen Skero,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Dennis McDonagh,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,John Magliano,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Anthony Beovich,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Christopher James,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-03-12,Matthew Skurbe,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000002/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Blackstone Real Estate Associates VII L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Stephen Schwarzman,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Hamilton James,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,John Finley,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Laurence Tosi,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,A.J. Agarwal,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Frank Cohen,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Jonathan Gray,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
0001534541,Blackstone Real Estate Partners VII.TE.3 L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2012-01-09,Robert Friedman,Of the GP of the Issuer,https://www.sec.gov/Archives/edgar/data/1534541/000153454112000001/primary_doc.xml
