Child Entity CIK,Child Entity,Entity Type,Industry Group,Jurisdiction,Filing Date,Parent Entity Name,Clarification,Source File
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,Blackstone Tactical Opportunities Management Associates III (Cayman) NQ L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,BTOA III (Cayman) NQ GP L.P.,"The General Partner of the GP  of the Issuer (the ""GP of the GP"").",https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,BTO GP NQ L.L.C.,The General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,David Blitzer,Chief Investment Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,Christopher James,Chief Operating Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,Christopher Striano,Chief Financial Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,John Finley,Chief Legal Officer of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001783655,Blackstone (PTI Fund Feeder) (Cayman) L.P.,Limited Partnership,Pooled Investment Fund,CAYMAN ISLANDS,2019-08-07,Omar Rehman,Chief Compliance Officer and Secretary of the General Partner of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1783655/000178365519000002/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2019-08-07,Blackstone PTI Associates L.P.,"The General Partner of the Issuer (the ""GP"").",https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2019-08-07,BTO DE GP NQ L.L.C.,"The General Partner of the GP of the Issuer (the ""GP of the GP"").",https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2019-08-07,David Blitzer,Chief Investment Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2019-08-07,Christopher James,Chief Operating Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2019-08-07,John Finley,Chief Legal Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
0001784204,Blackstone (PTI Fund Holdings) (DE) L.P.,Limited Partnership,Pooled Investment Fund,DELAWARE,2019-08-07,Christopher Striano,Chief Financial Officer of the GP of the GP.,https://www.sec.gov/Archives/edgar/data/1784204/000178365519000003/primary_doc.xml
